iter	RMSE
0	0.7448165981
1	0.7336401922
2	0.7215219147
3	0.7096807358
4	0.6979496033
5	0.6876637028
6	0.6788135514
7	0.6690862874
8	0.6596576434
9	0.6514265737
10	0.6420849813
11	0.6350981784
12	0.6267267352
13	0.618760992
14	0.611264084
15	0.6046566341
16	0.5975033291
17	0.5911656834
18	0.5850637753
19	0.5787075111
20	0.5721349552
21	0.5670634545
22	0.5616149143
23	0.5563364326
24	0.5507422465
25	0.5458008903
26	0.5406302601
27	0.5356770232
28	0.5315660675
29	0.5277956909
30	0.5241351971
31	0.5197273457
32	0.5163032645
33	0.5126691375
34	0.5092162002
35	0.5053769692
36	0.5018175767
37	0.4982082861
38	0.4940783102
39	0.490724095
40	0.4872825204
41	0.4842050975
42	0.4816911721
43	0.4780863418
44	0.4754101079
45	0.4725275714
46	0.4700304902
47	0.4671313679
48	0.464880642
49	0.4619151577
50	0.4589453575
51	0.4569572228
52	0.4552474968
53	0.4531658148
54	0.4513955052
55	0.4494169508
56	0.4476060873
57	0.4458087471
58	0.4441442015
59	0.442188116
60	0.4392747636
61	0.4375967415
62	0.4356937551
63	0.433726597
64	0.4317349808
65	0.4302454701
66	0.4278695676
67	0.4256921802
68	0.4243617412
69	0.4230858577
70	0.4228235497
71	0.4214808218
72	0.4201496745
73	0.4193685751
74	0.4175799875
75	0.4157946365
76	0.4143165824
77	0.4131121529
78	0.4113647231
79	0.4097752933
80	0.4083329479
81	0.4074155994
82	0.4064461547
83	0.4051367006
84	0.4032269248
85	0.4025082532
86	0.4009401802
87	0.3990850566
88	0.3984638567
89	0.39699283
90	0.3956667066
91	0.3948551635
92	0.3939523681
93	0.3928450968
94	0.3915035534
95	0.3906914767
96	0.3898060261
97	0.3893245447
98	0.3885892845
99	0.3879331464
100	0.3859670797
101	0.3851032303
102	0.3847713879
103	0.3835025391
104	0.3828884929
105	0.3810268057
106	0.3798460112
107	0.3785573649
108	0.3778864463
109	0.3773447878
110	0.375901129
111	0.3747366202
112	0.3738164215
113	0.3728305409
114	0.3719032689
115	0.3712983675
116	0.3708408037
117	0.3698094828
118	0.3690172992
119	0.3683906128
120	0.3677890898
121	0.367122248
122	0.366045374
123	0.3655855031
124	0.365236851
125	0.3648123607
126	0.3643096541
127	0.3631785121
128	0.362456412
129	0.3616312752
130	0.3604514401
131	0.3596732503
132	0.3589908914
133	0.3584009515
134	0.3579283956
135	0.3575602709
136	0.3568308138
137	0.3562513303
138	0.3552882346
139	0.3546701159
140	0.3541474622
141	0.3530601552
142	0.3526511436
143	0.3519697213
144	0.3508993654
145	0.3505209013
146	0.3500570678
147	0.3489176091
148	0.3485123382
149	0.3475325863
150	0.3468657112
151	0.3463882377
152	0.3459344962
153	0.3451552299
154	0.3443607942
155	0.3437940964
156	0.3433342758
157	0.341937659
158	0.3414302007
159	0.340974901
160	0.3407243938
161	0.3398775827
162	0.3394905049
163	0.3390879026
164	0.3382241644
165	0.3377726952
166	0.3371889046
167	0.3367399998
168	0.3361212391
169	0.3355567376
170	0.3345991657
171	0.3340035918
172	0.3334478682
173	0.333014011
174	0.332758978
175	0.3322689726
176	0.3318148601
177	0.3308114695
178	0.3304483576
179	0.3298283038
180	0.3289645716
181	0.328517669
182	0.3282441053
183	0.327569511
184	0.3269302528
185	0.3265733394
186	0.3252295181
187	0.3246383041
188	0.3239830168
189	0.3227836926
190	0.3222535479
191	0.3213943395
192	0.3206505921
193	0.3200954946
194	0.3192612469
195	0.3184853276
196	0.3178873181
197	0.3173425325
198	0.3168733401
199	0.3163522502
200	0.315721068
201	0.3151367037
202	0.3145259173
203	0.3133826567
204	0.3129999136
205	0.3122569565
206	0.3119443992
207	0.311678158
208	0.3110584703
209	0.3099979907
210	0.3093110124
211	0.3088819119
212	0.3083218506
213	0.3078599243
214	0.3075477886
215	0.3068462908
216	0.3064311211
217	0.3058185748
218	0.3053623429
219	0.3046102993
220	0.3043675703
221	0.3038930984
222	0.3027832257
223	0.3022665387
224	0.302019153
225	0.3010501802
226	0.3007192235
227	0.3000561823
228	0.2990735072
229	0.2982455103
230	0.2974622863
231	0.2970036716
