iter	Passed	Remaining
0	7	7566
1	21	10742
2	25	8325
3	29	7233
4	36	7200
5	40	6629
6	43	6140
7	46	5754
8	58	6410
9	60	6031
10	68	6132
11	70	5772
12	80	6142
13	85	6000
14	93	6126
15	96	5924
16	99	5731
17	102	5583
18	106	5478
19	108	5331
20	111	5216
21	115	5130
22	118	5019
23	121	4937
24	125	4888
25	128	4801
26	131	4744
27	134	4671
28	137	4603
29	141	4559
30	144	4504
31	146	4438
32	150	4407
33	153	4358
34	156	4320
35	160	4293
36	163	4249
37	166	4208
38	170	4190
39	175	4218
40	178	4178
41	182	4170
42	185	4128
43	188	4097
44	191	4062
45	194	4025
46	197	3999
47	200	3975
48	203	3940
49	206	3914
50	208	3887
51	212	3867
52	216	3873
53	219	3848
54	223	3838
55	227	3827
56	230	3806
57	232	3782
58	236	3771
59	239	3749
60	242	3737
61	246	3725
62	249	3704
63	252	3699
64	256	3684
65	259	3666
66	261	3646
67	265	3640
68	268	3621
69	272	3626
70	274	3591
71	278	3591
72	281	3575
73	289	3627
74	293	3616
75	301	3660
76	306	3668
77	311	3677
78	316	3687
79	320	3680
80	323	3671
81	327	3670
82	331	3659
83	336	3667
84	339	3658
85	342	3644
86	347	3647
87	350	3635
88	353	3619
89	358	3619
90	360	3600
91	363	3584
92	368	3596
93	371	3578
94	374	3566
95	378	3568
96	382	3560
97	386	3557
98	390	3554
99	393	3540
100	400	3566
101	403	3555
102	407	3550
103	410	3539
104	414	3534
105	419	3535
106	422	3524
107	424	3509
108	429	3507
109	431	3492
110	434	3475
111	436	3464
112	439	3451
113	442	3438
114	445	3426
115	448	3415
116	450	3401
117	453	3389
118	472	3501
119	475	3486
120	478	3473
121	482	3473
122	486	3469
123	489	3456
124	492	3447
125	496	3445
126	499	3436
127	502	3424
128	505	3410
129	507	3399
130	511	3395
131	514	3382
132	517	3370
133	520	3361
134	522	3348
135	525	3336
136	527	3322
137	530	3313
138	532	3301
139	535	3289
140	538	3279
141	541	3269
142	543	3257
143	555	3299
144	557	3287
145	559	3275
146	563	3268
147	565	3257
148	568	3245
149	570	3233
150	574	3228
151	576	3218
152	579	3207
153	581	3197
154	584	3185
155	586	3175
156	589	3164
157	592	3155
158	594	3145
159	597	3134
160	599	3124
161	602	3118
162	605	3109
163	608	3099
164	610	3089
165	613	3081
166	615	3071
167	618	3061
168	620	3051
169	623	3043
170	630	3055
171	633	3051
172	636	3042
173	639	3034
174	642	3026
175	644	3017
176	646	3008
177	649	2998
178	652	2992
179	654	2983
180	657	2974
181	659	2964
182	668	2985
183	671	2977
184	674	2970
185	676	2962
186	679	2955
187	683	2950
188	685	2942
189	688	2933
190	690	2925
191	693	2918
192	697	2915
193	701	2912
194	704	2906
195	709	2909
196	713	2908
197	717	2904
198	719	2897
199	724	2899
200	728	2894
201	730	2886
202	736	2891
203	741	2892
204	746	2896
205	750	2891
206	752	2884
207	757	2884
208	760	2877
209	762	2868
210	766	2866
211	770	2862
212	773	2856
213	779	2862
214	781	2854
215	784	2848
216	787	2842
217	790	2835
218	794	2833
219	797	2827
220	799	2819
221	803	2815
222	806	2809
223	809	2802
224	811	2796
225	814	2790
226	817	2784
227	820	2777
228	823	2773
229	826	2766
230	829	2760
231	831	2753
232	834	2747
233	837	2740
234	840	2734
235	842	2727
236	845	2721
237	847	2713
238	850	2708
239	853	2701
240	855	2694
241	857	2687
242	860	2680
243	862	2672
244	865	2666
245	867	2660
246	870	2653
247	873	2647
248	876	2642
249	878	2635
250	881	2630
251	884	2624
252	886	2618
253	889	2611
254	891	2605
255	895	2601
256	897	2595
257	900	2588
258	902	2583
259	905	2578
260	908	2571
261	910	2565
262	914	2561
263	916	2555
264	919	2549
265	921	2542
266	924	2538
267	927	2532
268	930	2527
269	932	2520
270	935	2516
271	938	2511
272	940	2505
273	943	2499
274	945	2493
275	948	2487
276	958	2501
277	961	2496
278	964	2491
279	966	2486
280	969	2481
281	972	2476
282	975	2471
283	978	2467
284	981	2462
285	984	2456
286	987	2453
287	992	2453
288	994	2447
289	998	2445
290	1002	2443
291	1005	2437
292	1008	2433
293	1010	2427
294	1013	2421
295	1016	2417
296	1019	2413
297	1023	2410
298	1026	2406
299	1030	2404
300	1032	2398
301	1035	2392
302	1037	2387
303	1040	2382
304	1042	2376
305	1046	2372
306	1048	2366
307	1050	2361
308	1053	2355
309	1056	2351
310	1059	2346
311	1077	2376
312	1080	2372
313	1085	2372
314	1089	2369
315	1093	2367
316	1100	2371
317	1104	2367
318	1107	2364
319	1110	2360
320	1121	2371
321	1128	2375
322	1132	2373
323	1135	2369
324	1140	2369
325	1144	2366
326	1155	2377
327	1160	2376
328	1162	2371
329	1167	2370
330	1171	2367
331	1174	2362
332	1177	2358
333	1180	2353
334	1182	2348
335	1185	2343
336	1188	2337
337	1190	2332
338	1196	2332
339	1199	2328
340	1203	2324
341	1206	2321
342	1209	2317
343	1213	2314
344	1217	2312
345	1220	2307
346	1225	2306
347	1238	2319
348	1240	2314
349	1243	2310
350	1249	2310
351	1254	2308
352	1256	2303
353	1265	2309
354	1268	2304
355	1271	2300
356	1275	2296
357	1280	2295
358	1292	2308
359	1296	2305
360	1300	2301
361	1302	2296
362	1305	2291
363	1308	2287
364	1311	2282
365	1314	2277
366	1320	2277
367	1327	2279
368	1335	2284
369	1339	2280
370	1343	2277
371	1345	2271
372	1348	2267
373	1351	2262
374	1353	2256
375	1356	2250
376	1359	2246
377	1361	2241
378	1364	2235
379	1367	2231
380	1370	2226
381	1372	2220
382	1374	2214
383	1377	2210
384	1380	2204
385	1382	2199
386	1386	2195
387	1389	2191
388	1391	2186
389	1394	2180
390	1398	2177
391	1400	2172
392	1403	2167
393	1405	2161
394	1412	2163
395	1414	2158
396	1417	2153
397	1420	2148
398	1422	2142
399	1424	2137
400	1427	2132
401	1430	2128
402	1433	2122
403	1435	2117
404	1438	2113
405	1441	2108
406	1444	2104
407	1447	2099
408	1449	2095
409	1452	2089
410	1454	2084
411	1458	2081
412	1461	2076
413	1463	2072
414	1466	2067
415	1469	2062
416	1471	2057
417	1473	2052
418	1477	2048
419	1479	2043
420	1481	2037
421	1483	2032
422	1486	2027
423	1488	2022
424	1491	2017
425	1493	2012
426	1496	2008
427	1498	2003
428	1501	1997
429	1504	1994
430	1506	1989
431	1509	1984
432	1512	1980
433	1516	1977
434	1518	1972
435	1521	1967
436	1524	1963
437	1526	1959
438	1529	1954
439	1531	1949
440	1534	1945
441	1537	1940
442	1539	1935
443	1542	1932
444	1545	1927
445	1548	1923
446	1550	1918
447	1553	1914
448	1555	1909
449	1558	1904
450	1561	1901
451	1564	1896
452	1566	1891
453	1568	1886
454	1572	1883
455	1574	1878
456	1577	1874
457	1579	1869
458	1583	1866
459	1585	1861
460	1588	1856
461	1590	1852
462	1593	1848
463	1596	1843
464	1598	1839
465	1601	1835
466	1604	1831
467	1607	1827
468	1609	1822
469	1613	1819
470	1615	1814
471	1618	1810
472	1620	1805
473	1623	1801
474	1625	1796
475	1627	1792
476	1630	1787
477	1632	1783
478	1635	1778
479	1637	1774
480	1641	1771
481	1644	1767
482	1647	1763
483	1649	1758
484	1652	1754
485	1654	1750
486	1657	1745
487	1660	1741
488	1663	1738
489	1667	1735
490	1671	1732
491	1674	1728
492	1677	1724
493	1679	1720
494	1682	1716
495	1685	1712
496	1687	1708
497	1691	1705
498	1694	1701
499	1697	1697
500	1701	1694
501	1705	1691
502	1708	1687
503	1712	1685
504	1716	1682
505	1718	1678
506	1722	1675
507	1725	1671
508	1728	1667
509	1731	1663
510	1734	1660
511	1737	1655
512	1740	1652
513	1743	1648
514	1745	1643
515	1748	1639
516	1750	1635
517	1753	1631
518	1755	1627
519	1758	1623
520	1762	1620
521	1764	1616
522	1767	1612
523	1770	1608
524	1773	1605
525	1777	1601
526	1780	1598
527	1783	1594
528	1786	1590
529	1789	1586
530	1793	1583
531	1796	1580
532	1799	1576
533	1802	1572
534	1804	1568
535	1807	1564
536	1810	1561
537	1813	1557
538	1815	1553
539	1818	1549
540	1821	1545
541	1824	1541
542	1826	1537
543	1842	1544
544	1845	1540
545	1849	1537
546	1851	1533
547	1855	1530
548	1857	1526
549	1860	1521
550	1863	1518
551	1865	1514
552	1868	1510
553	1871	1506
554	1874	1502
555	1876	1498
556	1878	1494
557	1881	1490
558	1884	1486
559	1886	1482
560	1889	1478
561	1892	1474
562	1894	1470
563	1896	1466
564	1899	1462
565	1902	1458
566	1904	1454
567	1907	1450
568	1910	1447
569	1913	1443
570	1915	1439
571	1918	1435
572	1921	1431
573	1923	1427
574	1925	1423
575	1929	1420
576	1931	1416
577	1934	1412
578	1936	1408
579	1939	1404
580	1941	1400
581	1944	1396
582	1947	1392
583	1949	1388
